Id,PlanId,PlanName,PillarId,ObjectiveId,StrategyId,ComponentId,PillarDescription,ObjectiveDescription,StrategyDescription,ComponentDescription,RowState,UniqueIdentifier
0,,,4001,400101,40010101,401010101,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.",01. Justicia ambiental y gobernanza inclusiva,a. Implementación del Acuerdo de Escazú,0,
0,,,4001,400101,40010101,401010102,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.",01. Justicia ambiental y gobernanza inclusiva,"b. Democratización del conocimiento, la información ambiental y de riesgo de desastres",0,
0,,,4001,400101,40010101,401010103,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.",01. Justicia ambiental y gobernanza inclusiva,c. Modernización de la institucionalidad ambiental y de gestión del riesgo de desastres,0,
0,,,4001,400101,40010101,401010104,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.",01. Justicia ambiental y gobernanza inclusiva,d. Instrumentos de control y vigilancia ambiental para la resiliencia,0,
0,,,4001,400101,40010102,401010201,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.","02. El agua, la biodiversidad y las personas, en el centro del ordenamiento territorial",a. Ciclo del agua como base del ordenamiento territorial,0,
0,,,4001,400101,40010102,401010202,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.","02. El agua, la biodiversidad y las personas, en el centro del ordenamiento territorial",b. Implementación y jerarquización de las determinantes de ordenamiento,0,
0,,,4001,400101,40010102,401010203,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.","02. El agua, la biodiversidad y las personas, en el centro del ordenamiento territorial",c. Reglamentación e implementación de los determinantes para la protección del suelo rural como garantía del derecho a la alimentación,0,
0,,,4001,400101,40010102,401010204,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.","02. El agua, la biodiversidad y las personas, en el centro del ordenamiento territorial",d. Personas en el centro de la planeación del territorio,0,
0,,,4001,400101,40010103,401010301,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.",03. Coordinación de los instrumentos de planificación de territorios vitales,a. Armonización y racionalización de los instrumentos de ordenamiento y planificación territorial,0,
0,,,4001,400101,40010103,401010302,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.",03. Coordinación de los instrumentos de planificación de territorios vitales,b. Reglas comunes para el respeto de las restricciones del territorio,0,
0,,,4001,400101,40010103,401010303,1. Ordenamiento del territorio alrededor del agua y justicia ambiental,"01. Consolidar la base natural, cultural y arqueológica del territorio como los elementos primarios del ordenamiento territorial, bajo un enfoque de justicia ambiental orientado al desarrollo sostenible.",03. Coordinación de los instrumentos de planificación de territorios vitales,c. Gobernanza multinivel del territorio,0,
